Line,Section,Number,Length,Grade,Speed Limit,Infrastructure,Side,Elevation,Cumulative Elevation,Polarity,Column,Row
Red,I,46,75,0,70,UNDERGROUND,,0.00,-1.24,1,13,34
Red,I,47,75,0,70,RAILWAY CROSSING,,0.00,-1.24,0,12,35
Red,I,48,75,0,70,STATION; STATION SQUARE,Left/Right,0.00,-1.24,1,11,36
Red,J,49,50,0,60,,,0.00,-1.24,0,10,36
Red,J,50,50,0,60,,,0.00,-1.24,1,9,36
Red,J,51,50,0,55,,,0.00,-1.24,0,8,36
Red,J,52,43.2,0,55,SWITCH (52-53; 52-66),,0.00,-1.24,1,7,36
Red,J,53,50,0,55,,,0.00,-1.24,0,6,36
Red,J,54,50,0,55,,,0.00,-1.24,1,5,36
Red,K,55,75,0.5,55,,,0.38,-0.87,0,4,35
Red,K,56,37.5,0.5,55,,,0.19,-0.68,1,3,34
Red,K,57,37.5,0.5,55,,,0.19,-0.49,0,2,33
Red,K,58,75,0.5,55,,,0.38,-0.12,1,2,32
Red,L,59,75,1,55,,,0.75,0.63,0,2,31
Red,L,60,75,0.5,55,,,0.38,1.01,1,3,30
Red,L,61,75,0,55,STATION; SOUTH HILLS JUNCTION,Left/Right,0.00,1.01,0,4,29
Red,M,62,75,-0.5,55,,,-0.38,0.63,1,5,30
Red,M,63,75,-1,55,,,-0.75,-0.12,0,6,31
Red,M,64,75,-1,55,,,-0.75,-0.87,1,6,32
Red,N,65,75,-0.5,55,,,-0.38,-1.24,0,6,33
Red,N,66,75,0,55,,,0.00,-1.24,1,6,34
Red,N,67,75,0,55,,,0.00,-1.24,0,7,35
Red,O,68,50,0,55,UNDERGROUND,,0.00,-1.24,0,12,31
Red,P,69,50,0,55,UNDERGROUND,,0.00,-1.24,1,11,30
Red,P,70,50,0,55,UNDERGROUND,,0.00,-1.24,0,11,29
Red,P,71,50,0,55,UNDERGROUND,,0.00,-1.24,1,11,28
Red,Q,72,50,0,55,UNDERGROUND,,0.00,-1.24,0,12,27
Red,R,73,50,0,55,UNDERGROUND,,0.00,-1.24,1,12,20
Red,S,74,50,0,55,UNDERGROUND,,0.00,-1.24,0,11,19
Red,S,75,50,0,55,UNDERGROUND,,0.00,-1.24,1,11,18
Red,S,76,50,0,55,UNDERGROUND,,0.00,-1.24,0,11,17
Red,T,77,50,0,55,UNDERGROUND,,0.00,-1.24,1,12,16
